epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4508.25,0.85354,0.51374,1.12223,0.84653,0.91076,0.87624,0.66332,0.90547,0.47203,1.11426,0.000368043,0.000368043,0.000368043
81,4565.03,0.84362,0.50506,1.11376,0.86217,0.90072,0.8951,0.68588,0.90102,0.47481,1.08035,0.000362968,0.000362968,0.000362968
82,4620.91,0.83791,0.49684,1.10733,0.84845,0.92498,0.89232,0.66238,0.92719,0.48394,1.10996,0.000357893,0.000357893,0.000357893
83,4677.18,0.84402,0.50438,1.11603,0.92059,0.88296,0.94706,0.71165,0.91544,0.48146,1.11164,0.000352817,0.000352817,0.000352817
84,4733.84,0.8389,0.50455,1.11481,0.84736,0.90642,0.87039,0.66443,0.92781,0.49127,1.12856,0.000347742,0.000347742,0.000347742
85,4790.19,0.84614,0.50444,1.11531,0.83918,0.90712,0.94413,0.67507,0.91947,0.48853,1.11242,0.000342666,0.000342666,0.000342666
86,4847.07,0.82922,0.50164,1.11324,0.87101,0.88147,0.89286,0.6797,0.91505,0.48457,1.11038,0.000337591,0.000337591,0.000337591
87,4903.63,0.84103,0.50064,1.11594,0.83742,0.92303,0.86055,0.6587,0.91942,0.48821,1.11745,0.000332516,0.000332516,0.000332516
88,4959.79,0.82446,0.49377,1.10685,0.85097,0.91659,0.89108,0.68384,0.91168,0.47863,1.12645,0.00032744,0.00032744,0.00032744
89,5016.06,0.82352,0.49316,1.1098,0.83485,0.91545,0.86315,0.6652,0.91394,0.48212,1.12073,0.000322365,0.000322365,0.000322365
90,5071.86,0.82445,0.49136,1.10216,0.82874,0.93611,0.87339,0.66613,0.90886,0.47925,1.10744,0.000317289,0.000317289,0.000317289
91,5127.2,0.82056,0.48903,1.10554,0.9111,0.89704,0.94864,0.73268,0.90898,0.47972,1.1228,0.000312214,0.000312214,0.000312214
