epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3631.67,0.92016,0.56697,1.16664,0.79347,0.80426,0.8478,0.64965,0.90325,0.50052,1.09968,0.000469551,0.000469551,0.000469551
61,3692.71,0.90855,0.56215,1.15887,0.84853,0.90072,0.94696,0.69725,0.9084,0.48867,1.11091,0.000464476,0.000464476,0.000464476
62,3752.19,0.90461,0.55973,1.15448,0.86025,0.9155,0.89108,0.67253,0.90748,0.48355,1.12621,0.000459401,0.000459401,0.000459401
63,3812.64,0.91272,0.55995,1.16047,0.84925,0.89794,0.86973,0.67508,0.9023,0.48537,1.10989,0.000454325,0.000454325,0.000454325
64,3872.39,0.90312,0.55036,1.15902,0.88825,0.83141,0.93885,0.71113,0.95382,0.50373,1.13605,0.00044925,0.00044925,0.00044925
65,3932.36,0.90086,0.55633,1.15423,0.90094,0.84429,0.94024,0.71023,0.91659,0.49707,1.11046,0.000444174,0.000444174,0.000444174
66,3992.83,0.89298,0.54585,1.14825,0.90568,0.84185,0.94585,0.73159,0.89805,0.48011,1.11699,0.000439099,0.000439099,0.000439099
67,4052.1,0.89424,0.54946,1.15005,0.88354,0.87817,0.93955,0.72913,0.92779,0.49561,1.11517,0.000434024,0.000434024,0.000434024
68,4111.35,0.89487,0.5417,1.14877,0.83987,0.88596,0.8608,0.65022,0.93455,0.52469,1.12666,0.000428948,0.000428948,0.000428948
69,4170.5,0.88677,0.54298,1.14283,0.7793,0.93237,0.887,0.67916,0.92578,0.49341,1.12654,0.000423873,0.000423873,0.000423873
70,4230.53,0.88502,0.5386,1.14048,0.88284,0.8378,0.94217,0.71585,0.93734,0.49388,1.12463,0.000418797,0.000418797,0.000418797
71,4290.9,0.88198,0.53851,1.14068,0.8985,0.86327,0.9429,0.72942,0.91255,0.48765,1.1059,0.000413722,0.000413722,0.000413722
72,4349.77,0.88066,0.5361,1.14007,0.84557,0.90644,0.94618,0.71148,0.91513,0.47934,1.10155,0.000408647,0.000408647,0.000408647
73,4410.2,0.87944,0.53674,1.13914,0.8498,0.92423,0.89124,0.68297,0.90709,0.47936,1.10326,0.000403571,0.000403571,0.000403571
74,4470.13,0.87792,0.53329,1.13692,0.91253,0.86664,0.94101,0.71864,0.92864,0.50236,1.13339,0.000398496,0.000398496,0.000398496
