epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3583.29,0.91215,0.565,1.16358,0.91397,0.84702,0.94516,0.71184,0.92036,0.49775,1.11618,0.000440681,0.000440681,0.000440681
60,3645.05,0.90901,0.56702,1.1602,0.8254,0.90986,0.94405,0.68493,0.90857,0.48911,1.12604,0.000435968,0.000435968,0.000435968
61,3704.3,0.90684,0.56152,1.16303,0.82334,0.9187,0.89309,0.66496,0.91424,0.48729,1.1308,0.000431256,0.000431256,0.000431256
62,3764.77,0.90069,0.55899,1.15933,0.91402,0.84934,0.93888,0.65544,0.93252,0.51599,1.14826,0.000426544,0.000426544,0.000426544
63,3824.04,0.89977,0.55302,1.16279,0.85005,0.89181,0.88491,0.66653,0.93301,0.49186,1.14387,0.000421831,0.000421831,0.000421831
64,3883.46,0.88816,0.54835,1.15391,0.85236,0.88594,0.87155,0.67394,0.90479,0.48967,1.11661,0.000417119,0.000417119,0.000417119
65,3943.97,0.88977,0.55065,1.14981,0.9217,0.86142,0.94593,0.7187,0.91232,0.48978,1.10191,0.000412406,0.000412406,0.000412406
66,4002.94,0.88144,0.53915,1.14211,0.87829,0.87609,0.89217,0.65187,0.92328,0.49301,1.11223,0.000407694,0.000407694,0.000407694
67,4062.46,0.88364,0.54022,1.14538,0.81855,0.93825,0.86649,0.67114,0.89824,0.48459,1.11351,0.000402982,0.000402982,0.000402982
68,4121.65,0.87654,0.53407,1.14215,0.82919,0.93394,0.86846,0.68126,0.88948,0.47189,1.10645,0.000398269,0.000398269,0.000398269
69,4181.45,0.88018,0.53897,1.14101,0.87771,0.87065,0.89467,0.66832,0.9057,0.47501,1.11557,0.000393557,0.000393557,0.000393557
